Bereich;Leistung;BS;BSP;Besonders relevant für;Was bedeutet das?
Produktrisiko;Gesetzliche Produkthaftpflicht;inkl.;inkl.;Alle;Haftung für Schäden die durch Ihre verkauften oder hergestellten Produkte entstehen
Produktrisiko;Fehlen vereinbarter Eigenschaften;inkl.;inkl.;Alle;Haftung wenn ein verkauftes Produkt nicht die versprochenen Eigenschaften hat
Produktrisiko;Verbindung, Vermischung, Verarbeitung;200.000 EUR;200.000 EUR;E-Zigarettenhandel / Akustiker / Optiker;Bsp.: Ein verkauftes Bauteil wird eingebaut und verursacht Schäden am Gesamtgerät
Produktrisiko;Weiterverarbeitungs- und -bearbeitungsschäden;200.000 EUR;200.000 EUR;E-Zigarettenhandel / Akustiker / Optiker;Bsp.: Ein Kunde verarbeitet Ihr Produkt weiter und dabei entstehen Schäden
Produktrisiko;Aus- und Einbaukosten;200.000 EUR;200.000 EUR;Akustiker / Optiker / Handyreparatur;Bsp.: Ein fehlerhaftes Ersatzteil muss wieder ausgebaut und ein neues eingebaut werden
Produktrisiko;Verlängerung Gewährleistungsfrist;bis 3 Jahre;bis 3 Jahre;Alle;Gewährleistungshaftung über die gesetzliche Frist hinaus bis zu 3 Jahre
Produktrisiko;Selbstbeteiligung Serienschäden;SB 10 % min. 250 EUR max. 2.500 EUR;SB 10 % min. 250 EUR max. 2.500 EUR;Alle;Bei gleichartigen Schadensfällen durch dasselbe Produkt gilt eine begrenzte Selbstbeteiligung
Besondere Deckungserweiterungen;Heilpraktiker-Tätigkeiten;--;--;Nagelstudio / Friseur;Haftpflicht für alternative Heilmethoden wie Akupunktur oder Osteopathie
Besondere Deckungserweiterungen;Kosmetische Behandlungen;--;--;Nagelstudio / Friseur;Haftpflicht für alle gängigen kosmetischen Behandlungen inkl. apparativer Kosmetik
Besondere Deckungserweiterungen;Verkauf von Kosmetikartikeln;--;--;Friseur / Nagelstudio;Bsp.: Verkauf von Pflegeprodukten und Kosmetik als Nebentätigkeit ist mitversichert
Besondere Deckungserweiterungen;Hausbesuche;--;--;Friseur / Nagelstudio;Bsp.: Friseur macht Hausbesuche bei immobilen Kunden - Haftpflicht gilt auch dort
Besondere Deckungserweiterungen;Dozententätigkeit und Schulungen;--;--;Friseur / Nagelstudio;Bsp.: Sie geben Schulungen oder Seminare für andere Friseure oder Kosmetikerinnen
Besondere Deckungserweiterungen;Abhandenkommen Wertsachen Kunden;--;--;Friseur / Nagelstudio;Bsp.: Während der Behandlung wird dem Kunden der Schmuck aus der Ablage gestohlen
Besondere Deckungserweiterungen;Neuwertentschädigung;--;--;Alle;Beschädigte Gegenstände bis 12 Monate alt werden zum Neupreis statt Zeitwert ersetzt
