Bereich;Leistung;BS;BSP;Besonders relevant für;Was bedeutet das?
Einbruchdiebstahl / Vandalismus;Diebstahl Bewirtschaftungsmöbel;10.000 EUR;20.000 EUR;Alle;Outdoor-Möbel wie Stühle oder Tische vor dem Geschäft werden gestohlen
Einbruchdiebstahl / Vandalismus;Diebstahl Bargeld (einfach);250 EUR;1.000 EUR;Alle;Bargeld wird ohne Einbruch entwendet z.B. durch Trickdiebstahl
Einbruchdiebstahl / Vandalismus;Diebstahl Fahrradständer und Werbeaufsteller;--;3.000 EUR;Alle;Kundenstopper oder Fahrradständer vor dem Laden werden gestohlen
Einbruchdiebstahl / Vandalismus;Beseitigung von Gebäudeschäden / Schaukästen / Vitrinen;inkl.;inkl.;Alle;Reparaturkosten für aufgebrochene Türen, Fenster oder Vitrinen nach Einbruch
Einbruchdiebstahl / Vandalismus;Schlossänderungskosten;inkl.;inkl.;Alle;Kosten für neue Schlösser und Schlüssel nach einem Einbruch
Einbruchdiebstahl / Vandalismus;Erweiterte Schlossänderungskosten (Tresor / Behältnisse);15.000 EUR;inkl.;Alle;Zusätzlich Schlossaustausch an Tresoren und Wertbehältnissen
Einbruchdiebstahl / Vandalismus;Provisorische Sicherungsmaßnahmen;10.000 EUR;inkl.;Alle;Bsp.: Notverbarrikadierung einer aufgebrochenen Tür über Nacht
Einbruchdiebstahl / Vandalismus;Bewachung versicherter Sachen bis 48 h;2.500 EUR;inkl.;Alle;Wachschutz wenn Ihr Geschäft nach einem Einbruch nicht sofort gesichert werden kann
Leitungswasser;Nässeschäden;inkl.;inkl.;Alle;Bsp.: Ein Rohrbruch überflutet Ihr Lager und beschädigt Waren
Leitungswasser;Bruchschäden Zu-/Ableitungsrohre;inkl.;inkl.;Alle;Kosten für die Reparatur geplatzter Wasserleitungen
Leitungswasser;Sonstige Bruchschäden an Armaturen;1.000 EUR;inkl.;Alle;Bsp.: Ein Wasserhahn bricht ab und verursacht einen Wasserschaden
Leitungswasser;Frostbedingte Bruchschäden (Waschbecken / Armaturen);inkl.;inkl.;Alle;Im Winter frieren Leitungen ein und platzen - Schäden sind abgedeckt
Leitungswasser;Mehraufwendungen bei Wasser- und Gasverlust;10.000 EUR;inkl.;Alle;Wasserrechnung steigt durch unentdeckten Rohrbruch - Mehrkosten sind versichert
Weitere Gefahren;Sturm / Hagel (ab Windstärke 8);inkl.;inkl.;Alle;Schäden durch Sturm oder Hagelschlag z.B. beschädigtes Dach oder Schaufenster
Weitere Gefahren;Elementar (Überschwemmung / Rückstau / Erdbeben / Erdsenkung / Erdrutsch / Schneedruck / Lawinen);ZÜRS 1+2 (SB 1.000 EUR);ZÜRS 1+2 (SB 1.000 EUR);Alle;Naturgefahren wie Hochwasser oder Erdbeben - nur in Risikozone 1+2 versicherbar
Weitere Gefahren;Elementar - Wartezeit;4 Wochen;4 Wochen;Alle;Elementarschutz greift erst 4 Wochen nach Versicherungsbeginn
Weitere Gefahren;Unbenannte Gefahren;2.000.000 EUR / SB 10 % min. 1.000 EUR;2.000.000 EUR / SB 10 % min. 1.000 EUR;Alle;Auffangschutz für Schäden die keiner klassischen Gefahr zuzuordnen sind
Glas;Außen- und Innenverglasung (Schaufenster);inkl.;inkl.;Alle;Schaufenster oder Ladentürglas zerbricht
Glas;Glasscheiben von Schränken / Vitrinen;inkl.;inkl.;Optiker / E-Zigarettenhandel;Glasscheiben Ihrer Ausstellungsvitrinen zerbrechen
Glas;Schrank- / Wand- und Standspiegel;inkl.;inkl.;Friseur / Nagelstudio;Wand- und Standspiegel im Salon zerbrechen
Glas;Glasplatten (Arbeitstische);inkl.;inkl.;Friseur / Nagelstudio;Bsp.: Glasplatte am Nageldesign-Tisch zerbricht
Glas;Waren und Dekorationsmittel;5.000 EUR;5.000 EUR;Optiker / Akustiker / E-Zigarettenhandel;Ware in der Vitrine die durch den Glasbruch beschädigt wird
Glas;Werbeanlagen / Firmenschilder / Transparente;inkl.;inkl.;Alle;Beleuchtete Werbeschilder oder Leuchtkästen mit Glasscheiben
Glas;Kosten Notverschalung und -verglasung;inkl.;inkl.;Alle;Sofortige provisorische Sicherung wenn eine Scheibe nachts zu Bruch geht
Glas;Sonderkosten (Gerüste / Schriften / Folien / Beschläge);10.000 EUR;10.000 EUR;Alle;Bsp.: Gerüstkosten, Neubeschriftung oder Folierung nach Scheibentausch
Ertragsausfall;Ertragsausfall;inkl. (SB 48 h);inkl. (SB 48 h);Alle;Geschäft kann nach einem Schaden nicht öffnen - entgangener Gewinn wird ersetzt
Ertragsausfall;Haftzeit;12 Monate;12 Monate;Alle;Maximaler Zeitraum für den der Ertragsausfall gezahlt wird
Ertragsausfall;Weiterzahlung von Gehältern und Löhnen;inkl.;inkl.;Alle;Löhne Ihrer Mitarbeiter laufen weiter auch wenn der Betrieb stillsteht
Ertragsausfall;Überspannung durch Blitz;inkl.;inkl.;Alle;Ertragsausfall weil ein Blitz Ihre Elektronik lahmgelegt hat
Ertragsausfall;Ertragsausfall durch Datenverlust;--;10.000 EUR / SB 250 EUR;Akustiker / Optiker / Handyreparatur;Umsatzeinbußen weil wichtige Geschäftsdaten verloren gegangen sind
Ertragsausfall;Vertragsstrafen;10.000 EUR / SB 1.000 EUR;10.000 EUR / SB 250 EUR;Alle;Liefertermine nicht eingehalten? Vertragsstrafen werden übernommen
Ertragsausfall;Rückwirkungsschäden (Zulieferer);--;10.000 EUR / SB 250 EUR;Akustiker / Optiker / E-Zigarettenhandel;Ihr Zulieferer hat einen Schaden und kann nicht liefern - Ihr Ausfall ist versichert
Ertragsausfall;Mehrkostenversicherung (zeitabhängig);optional / 25.000 EUR / SB 48 h;optional / 25.000 EUR / SB 48 h;Alle;Laufende Mehrkosten z.B. Anmietung von Ersatzräumen während der Reparatur
Ertragsausfall;Mehrkostenversicherung (zeitunabhängig);optional / 25.000 EUR / SB 10 %;optional / 25.000 EUR / SB 10 %;Alle;Einmalige Mehrkosten z.B. Expresslieferung von Ersatzgeräten
Ertragsausfall;Fortlaufende Kosten & Betriebsgewinn (BU);inkl. (SB 48 h);inkl. (SB 48 h);Alle;Miete und Fixkosten laufen weiter auch wenn kein Umsatz gemacht wird
Ertragsausfall;Weiterzahlung Gehälter / Löhne (BU);inkl.;inkl.;Alle;Lohnfortzahlung für Mitarbeiter während der Betriebsunterbrechung
Ertragsausfall;Haftzeit (BU);12 Monate (erweiterbar);12 Monate (erweiterbar);Alle;Maximaler Zeitraum für den fortlaufende Kosten gezahlt werden
Ertragsausfall;Höchstentschädigung versicherte Kosten (BU);1.000.000 EUR;1.000.000 EUR;Alle;Maximalbetrag für alle Kosten der Betriebsunterbrechung
Ertragsausfall;Rückwirkungsschäden Zulieferer (BU);100.000 EUR / SB 10.000 EUR;100.000 EUR / SB 10.000 EUR;Alle;Zulieferer fällt aus und Sie können nicht arbeiten - fortlaufende Kosten sind gedeckt
Technische Betriebseinrichtung;Allgefahrendeckung techn. Betriebseinrichtung;vereinbarte Erstrisikosumme / SB 250 EUR;vereinbarte Erstrisikosumme / SB 250 EUR;Akustiker / Optiker / Handyreparatur;Umfassender Schutz für Ihre Technik - auch bei Bedienungsfehlern oder Kurzschluss
Technische Betriebseinrichtung;Wiederherstellung Daten Betriebssystem;vereinbarte Erstrisikosumme / SB 250 EUR;vereinbarte Erstrisikosumme / SB 250 EUR;Akustiker / Optiker / Handyreparatur;Kosten für Neuinstallation und Datenrettung Ihres Kassensystems oder PCs
Technische Betriebseinrichtung;Mobiles Risiko (Laptops / Smartphones bis 2 Jahre);optional / 10 % Erstrisikosumme / SB 250 EUR;optional / 10 % Erstrisikosumme / SB 250 EUR;Handyreparatur;Schutz für mobile Geräte auch unterwegs z.B. Laptop fällt beim Kundentermin
Technische Betriebseinrichtung;Softwareversicherung - Datenwiederherstellung;5.000 EUR / SB 250 EUR;5.000 EUR / SB 250 EUR;Akustiker / Optiker / Handyreparatur;Kosten für die Wiederherstellung verlorener Geschäftsdaten und Programme
Technische Betriebseinrichtung;Softwareversicherung - Lizenzkosten;2.000 EUR / SB 250 EUR;2.000 EUR / SB 250 EUR;Akustiker / Optiker / Handyreparatur;Neuanschaffung von Softwarelizenzen wenn Programme neu installiert werden müssen
